,type,total_mean
0,e2-standard-2,1230.46
1,e2-standard-4,1230.46
2,e2-standard-8,1230.46
3,e2-standard-16,1230.46
4,e2-standard-32,1230.46
5,e2-highmem-2,1230.46
6,e2-highmem-4,1230.46
7,e2-highmem-8,1230.46
8,e2-highmem-16,1230.46
9,e2-highcpu-2,1097.21
10,e2-highcpu-4,1097.21
11,e2-highcpu-8,1097.21
12,e2-highcpu-16,1097.21
13,e2-highcpu-32,1097.21
14,e2-micro,1230.46
15,e2-small,1230.46
16,e2-medium,1230.46
17,n2-standard-2,1888.46
18,n2-standard-4,1888.46
19,n2-standard-8,1888.46
20,n2-standard-16,1888.46
21,n2-standard-32,1888.46
22,n2-standard-48,1888.46
23,n2-standard-64,1888.46
24,n2-standard-80,1888.46
25,n2-standard-96,1888.46
26,n2-standard-128,1888.46
27,n2-highmem-2,2377.04
28,n2-highmem-4,2377.04
29,n2-highmem-8,2377.04
30,n2-highmem-16,2377.04
31,n2-highmem-32,2377.04
32,n2-highmem-48,2377.04
33,n2-highmem-64,2377.04
34,n2-highmem-80,2377.04
35,n2-highmem-96,2377.04
36,n2-highmem-128,2377.04
37,n2-highcpu-2,1311.04
38,n2-highcpu-4,1311.04
39,n2-highcpu-8,1311.04
40,n2-highcpu-16,1311.04
41,n2-highcpu-32,1311.04
42,n2-highcpu-48,1311.04
43,n2-highcpu-64,1311.04
44,n2-highcpu-80,1311.04
45,n2-highcpu-96,1311.04
46,n2d-standard-2,2321.46
47,n2d-standard-4,2321.46
48,n2d-standard-8,2321.46
49,n2d-standard-16,2321.46
50,n2d-standard-32,2321.46
51,n2d-standard-48,2321.46
52,n2d-standard-64,2321.46
53,n2d-standard-80,2321.46
54,n2d-standard-96,2321.46
55,n2d-standard-128,2321.46
56,n2d-standard-224,2321.46
57,n2d-highmem-2,2143.79
58,n2d-highmem-4,2143.79
59,n2d-highmem-8,2143.79
60,n2d-highmem-16,2143.79
61,n2d-highmem-32,2143.79
62,n2d-highmem-48,2143.79
63,n2d-highmem-64,2143.79
64,n2d-highmem-80,2143.79
65,n2d-highmem-96,2143.79
66,n2d-highcpu-2,1388.71
67,n2d-highcpu-4,1388.71
68,n2d-highcpu-8,1388.71
69,n2d-highcpu-16,1388.71
70,n2d-highcpu-32,1388.71
71,n2d-highcpu-48,1388.71
72,n2d-highcpu-64,1388.71
73,n2d-highcpu-80,1388.71
74,n2d-highcpu-96,1388.71
75,n2d-highcpu-128,1388.71
76,n2d-highcpu-224,1388.71
77,t2d-standard-1,1310.92
78,t2d-standard-2,1310.92
79,t2d-standard-4,1310.92
80,t2d-standard-8,1310.92
81,t2d-standard-16,1310.92
82,t2d-standard-32,1310.92
83,t2d-standard-48,1310.92
84,t2d-standard-60,1310.92
85,n1-standard-1,1677.48
86,n1-standard-2,1677.48
87,n1-standard-4,1677.48
88,n1-standard-8,1677.48
89,n1-standard-16,1677.48
90,n1-standard-32,1677.48
91,n1-standard-64,1677.48
92,n1-standard-96,1677.48
93,n1-highmem-2,2043.92
94,n1-highmem-4,2043.92
95,n1-highmem-8,2043.92
96,n1-highmem-16,2043.92
97,n1-highmem-32,2043.92
98,n1-highmem-64,2043.92
99,n1-highmem-96,2043.92
100,n1-highcpu-2,1297.72
101,n1-highcpu-4,1297.72
102,n1-highcpu-8,1297.72
103,n1-highcpu-16,1297.72
104,n1-highcpu-32,1297.72
105,n1-highcpu-64,1297.72
106,n1-highcpu-96,1297.72
107,f1-micro,1577.48
108,g1-small,1577.48
109,c2-standard-4,1510.92
110,c2-standard-8,1510.92
111,c2-standard-16,1510.92
112,c2-standard-30,1510.92
113,c2-standard-60,1510.92
114,m1-ultramem-40,3067.66
115,m1-ultramem-80,3067.66
116,m1-ultramem-160,3067.66
117,m1-megamem-96,3167.66
118,m2-ultramem-208,1100.0
119,m2-ultramem-416,1100.0
120,m2-megamem-416,1100.0
121,a2-highgpu-1g,5465.5
122,a2-highgpu-2g,5465.5
123,a2-highgpu-4g,5465.5
124,a2-highgpu-8g,5465.5
125,a2-megagpu-16g,5465.5
